
1,고정난수시드
2,전투중
3,원정중
4,미궁위치

10,마석

; 육변기 관련
30,육변기형시작일
31,육변기사용인원수
32,육변기사용횟수
33,육변기최근이용자수
34,육변기사정량
35,육변기정음량
36,육변기질내사정량
37,육변기항내사정량

; 퀘스트 관련
100,퀘스트진행중
101,퀘스트만기일
102,퀘스트종류,; 0: 토벌, 1: 납품
103,퀘스트대상,; 납품일경우 대상
104,퀘스트값, ;납품일경우 개수
105,퀘스트보수

; 11x ~ 15x는 수주 가능한 퀘스트 정보
111,퀘스트만료일
112,퀘스트종류
113,퀘스트대상
114,퀘스트재시도수
115,퀘스트보수

110,1단계몬스터수
120,2단계몬스터수
130,3단계몬스터수
140,4단계몬스터수
150,5단계몬스터수

; 설명출력관련
201,뒷골목확인
202,매음굴확인
203,신체거래확인

; 뒷골목거래관련
301,자궁대여료
302,전사일족손님
303,몬스터학자손님
304,연금술사손님

; 성교관련
401,성교합의
402,성교합의이전값
403,성교무드

; 도매 관련
500,도매상확인일

; 51x ~ 55x는 도매 물품 정보
511,도매물품번호
512,도매개수
513,도매가
514,판매완료

; 설정값 관련
610,성병보균율
611,최면이벤트확률
612,성희롱확률

