
1,고정난수시드
2,전투중
3,원정중
4,미궁위치
5,최면중
6,비자발임신
7,장기숙박
8,여관숙박

10,마석
11,마석환율

12,미궁상층발견
13,미궁하층발견
14,미궁현재층탐색수

; 육변기 관련
30,육변기형시작일
31,육변기사용인원수
32,육변기사용횟수
33,육변기최근이용자수
34,육변기사정량
35,육변기정음량
36,육변기질내사정량
37,육변기항내사정량

; 퀘스트 관련
100,퀘스트진행중
101,퀘스트만기일
102,퀘스트종류,; 0: 토벌, 1: 납품
103,퀘스트대상,; 납품일경우 대상
104,퀘스트값, ;납품일경우 개수
105,퀘스트보수

; 11x ~ 15x는 수주 가능한 퀘스트 정보
111,퀘스트만료일
112,퀘스트종류
113,퀘스트대상
114,퀘스트재시도수
115,퀘스트보수

110,1단계몬스터수
120,2단계몬스터수
130,3단계몬스터수
140,4단계몬스터수
150,5단계몬스터수

; 201 - unused for now

; 뒷골목거래관련
301,자궁대여료
302,전사일족손님
303,몬스터학자손님
304,연금술사손님

310,창관정산비율

; 성교관련
401,성교합의
402,성교합의이전값
403,성교무드

; 도매 관련
500,도매상확인일

; 51x ~ 55x는 도매 물품 정보
511,도매물품번호
512,도매개수
513,도매가
514,판매완료

; 설정값 관련
610,성병보균율
611,최면이벤트확률
612,성희롱확률
613,체포확률
614,명성확률

; 미궁의 계약 - STR.CSV에도 설명 추가할것
700,계약배율,;100x

701,흉포의계약,;1단계당 적의 공격력+15%/마법공격+10%
702,탈진의계약,;1단계당 자신의 공격력-10%/마법공격-5%
703,견고의계약,;1단계당 적의 방어력+10%/마법내성+7.5%
704,부동의계약,;1단계당 적의 보호막+1턴
705,죽음의계약,;1단계당 자신의 체력-10%/마력-10%

706,음욕의계약,;1단계당 흥분치 증가+20%
707,복종의계약,;1단계당 절정시 +1턴동안 [복종]상태이상 부여
708,유혹의계약,;1단계당 적의 성희롱 확률+10%

709,피로의계약,;1단계당 휴식시 체력/마력의 회복량-10%
710,억제의계약,;1단계당 스킬 사용시 필요한 모든 소모값+10%

711,풍요의계약,;절정시 모유 분비/1단계당 모유 분비시마다 현재 체력/마력 방출+5%
